 5152 : 1900 2019-10-20  3:30: 6 201 :  0:	session.exe started 
 5152 : 1900 2019-10-20  3:30: 6 232 :  0:	connected to 192.168.1.106:52638
 5152 : 5980 2019-10-20  3:30: 8 826 :  0:	login accepted: [ admin68 ]
 5152 : 5980 2019-10-20  3:30: 8 841 :  0:	access denied to subsystem [terminal] for user Admin68
 5152 : 3492 2019-10-20  3:30: 8 857 :  0:	session.exe end
 4124 : 4384 2019-10-20  3:30:12 201 :  0:	KTS connected to 192.168.1.106:52640
 5124 : 1664 2019-10-20  3:30:12 483 :  0:	session.exe started 
 5124 : 1664 2019-10-20  3:30:12 514 :  0:	connected to 192.168.1.106:52640
 5124 : 4352 2019-10-20  3:30:15 124 :  0:	login accepted: [ admin68 ]
 5124 : 4352 2019-10-20  3:30:15 139 :  0:	access denied to subsystem [terminal] for user Admin68
 5124 : 5268 2019-10-20  3:30:15 155 :  0:	session.exe end
 4124 : 4384 2019-10-20 22: 3:22 226 :  0:	KTS connected to 192.168.1.105:32774
 5104 : 4332 2019-10-20 22: 3:23 585 :  0:	session.exe started 
 5104 : 4332 2019-10-20 22: 3:23 773 :  0:	connected to 192.168.1.105:32774
 5104 : 5568 2019-10-20 22: 3:26 383 :  0:	login accepted: [ admin68 ]
 5104 : 5568 2019-10-20 22: 3:26 398 :  0:	access denied to subsystem [terminal] for user Admin68
 5104 : 3028 2019-10-20 22: 3:26 429 :  0:	session.exe end
 4124 : 4384 2019-10-21 14:24:18 529 :  0:	KTS connected to 192.168.1.103:38294
11188 : 8460 2019-10-21 14:24:19 722 :  0:	session.exe started 
11188 : 8460 2019-10-21 14:24:19 813 :  0:	connected to 192.168.1.103:38294
11188 :10808 2019-10-21 14:24:22 522 :  0:	login accepted: [ admin68 ]
11188 :10808 2019-10-21 14:24:22 541 :  0:	access denied to subsystem [terminal] for user Admin68
11188 :11128 2019-10-21 14:24:22 570 :  0:	session.exe end
 4124 : 4384 2019-10-21 14:25:29 477 :  0:	KTS connected to 169.254.127.46:55371
12156 :12160 2019-10-21 14:25:30 145 :  0:	session.exe started 
12156 :12160 2019-10-21 14:25:30 255 :  0:	connected to 169.254.127.46:55371
12156 :12236 2019-10-21 14:25:32 893 :  0:	login accepted: [ admin68 ]
12156 :12236 2019-10-21 14:25:32 934 :  0:	access denied to subsystem [terminal] for user Admin68
12156 :12256 2019-10-21 14:25:32 954 :  0:	session.exe end
 4124 : 4384 2019-10-21 14:25:58 851 :  0:	KTS connected to 192.168.1.103:38316
11136 : 7308 2019-10-21 14:25:59 366 :  0:	session.exe started 
11136 : 7308 2019-10-21 14:25:59 416 :  0:	connected to 192.168.1.103:38316
11136 :11940 2019-10-21 14:26: 1 961 :  0:	login accepted: [ admin68 ]
11136 :11940 2019-10-21 14:26: 1 973 :  0:	access denied to subsystem [terminal] for user Admin68
11136 :11976 2019-10-21 14:26: 2 209 :  0:	session.exe end
 4124 : 4384 2019-10-21 14:26: 5 600 :  0:	KTS connected to 192.168.1.103:38322
12224 :12228 2019-10-21 14:26: 5 850 :  0:	session.exe started 
12224 :12228 2019-10-21 14:26: 5 892 :  0:	connected to 192.168.1.103:38322
12224 :12184 2019-10-21 14:26: 8 334 :  0:	login accepted: [ admin68 ]
12224 :12184 2019-10-21 14:26: 8 345 :  0:	access denied to subsystem [terminal] for user Admin68
12224 :11388 2019-10-21 14:26: 8 362 :  0:	session.exe end
 4124 : 4384 2019-10-21 14:26:24 563 :  0:	KTS connected to 192.168.1.103:38328
11584 :11300 2019-10-21 14:26:24 854 :  0:	session.exe started 
11584 :11300 2019-10-21 14:26:24 893 :  0:	connected to 192.168.1.103:38328
